,Runtime,Runtime,Runtime,Runtime,Runtime,Runtime,Runtime,Runtime,IMDB_Rating,IMDB_Rating,IMDB_Rating,IMDB_Rating,IMDB_Rating,IMDB_Rating,IMDB_Rating,IMDB_Rating,No_of_Votes,No_of_Votes,No_of_Votes,No_of_Votes,No_of_Votes,No_of_Votes,No_of_Votes,No_of_Votes,Gross,Gross,Gross,Gross,Gross,Gross,Gross,Gross,Metascore,Metascore,Metascore,Metascore,Metascore,Metascore,Metascore,Metascore
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action,172.0,129.04651162790697,28.50070563474221,45.0,110.75,127.5,143.25,321.0,172.0,7.9494186046511635,0.3042577187483081,7.6,7.7,7.9,8.1,9.0,172.0,420246.5813953488,432946.8147476002,25312.0,82062.75,275497.0,611174.0,2303232.0,172.0,189722449.5,225672366.72461703,3296.0,24021540.25,103858027.5,267443695.75,936662225.0,143.0,73.41958041958041,12.421251999342223,33.0,65.0,74.0,82.0,98.0
Adventure,72.0,134.11111111111111,33.317320097306045,88.0,109.0,127.0,149.0,228.0,72.0,7.9375,0.2297809734826797,7.6,7.8,7.9,8.1,8.6,72.0,313557.81944444444,301188.34764230525,29999.0,77113.5,236060.5,499798.0,1512360.0,72.0,131901700.8888889,169754336.0780769,61001.0,13236910.5,57160627.0,199806998.25,874211619.0,64.0,78.4375,12.345393074290108,41.0,69.75,80.5,87.25,100.0
Animation,82.0,99.58536585365853,14.530471362369731,71.0,90.0,99.5,106.75,137.0,82.0,7.930487804878048,0.25322074710225295,7.6,7.7,7.9,8.1,8.6,82.0,268032.0731707317,262173.2315705923,25229.0,58736.0,169246.0,378923.75,999790.0,82.0,178432598.14634147,209183985.21951842,128985.0,5065329.5,145219819.0,252061158.75,873839108.0,75.0,81.09333333333333,8.813646257954783,61.0,75.0,82.0,87.5,96.0
Biography,88.0,136.02272727272728,25.514466157085995,93.0,120.0,129.0,146.25,209.0,88.0,7.9386363636363635,0.2671397319075476,7.6,7.7,7.9,8.1,8.9,88.0,272805.04545454547,271284.19137201074,27254.0,80890.0,188676.5,369137.5,1213505.0,88.0,94049518.25,136325057.73150066,21877.0,24640530.5,51710054.0,98299242.75,753585104.0,79.0,76.24050632911393,11.028186718787756,48.0,70.5,76.0,84.5,97.0
Comedy,155.0,112.12903225806451,22.946213132221672,68.0,96.0,106.0,124.5,188.0,155.0,7.901290322580647,0.22877059818528048,7.6,7.7,7.9,8.05,8.6,155.0,178195.65806451612,188653.57056370357,26337.0,47273.0,88511.0,242759.0,939631.0,155.0,101057213.96774194,194651306.99940938,1305.0,2918235.5,19516000.0,81078088.5,886752933.0,125.0,78.72,11.829160251601316,45.0,72.0,79.0,88.0,99.0
Crime,107.0,126.39252336448598,27.689231272793084,80.0,106.5,122.0,141.5,229.0,107.0,8.016822429906542,0.33547656367497863,7.6,7.8,8.0,8.2,9.2,107.0,313398.27102803736,373999.7306558553,27712.0,66431.0,142107.0,444545.0,1826188.0,107.0,78996559.88785046,157119144.9023231,6013.0,2136032.5,16290476.0,71021626.0,790482117.0,87.0,77.08045977011494,13.09910203810773,47.0,69.5,77.0,87.0,100.0
Drama,289.0,124.73702422145328,27.74048972676331,64.0,105.0,121.0,137.0,242.0,289.0,7.957439446366782,0.267229258044938,7.6,7.7,8.0,8.1,9.3,289.0,212343.61245674742,305554.16284106165,25088.0,43542.0,86525.0,246963.0,2343110.0,289.0,122525861.73356402,220116408.53444585,3600.0,2603061.0,18500194.0,116446147.0,924558264.0,241.0,79.70124481327801,12.74468674038911,28.0,72.0,82.0,89.0,100.0
Family,2.0,107.5,10.606601717798213,100.0,103.75,107.5,111.25,115.0,2.0,7.8,0.0,7.8,7.8,7.8,7.8,7.8,2.0,275610.5,137008.30281592425,178731.0,227170.75,275610.5,324050.25,372490.0,2.0,219555277.0,304841196.17448926,4000000.0,111777638.5,219555277.0,327332915.5,435110554.0,2.0,79.0,16.97056274847714,67.0,73.0,79.0,85.0,91.0
Fantasy,2.0,85.0,12.727922061357855,76.0,80.5,85.0,89.5,94.0,2.0,8.0,0.141421356237309,7.9,7.95,8.0,8.05,8.1,2.0,73111.0,22179.11129869725,57428.0,65269.5,73111.0,80952.5,88794.0,2.0,391363348.0,76068610.04746833,337574718.0,364469033.0,391363348.0,418257663.0,445151978.0,0.0,,,,,,,
Film-Noir,3.0,104.0,4.0,100.0,102.0,104.0,106.0,108.0,3.0,7.966666666666668,0.1527525231651946,7.8,7.9,8.0,8.05,8.1,3.0,122405.0,54649.08327684921,59556.0,104242.0,148928.0,153829.5,158731.0,3.0,41970181.0,70484721.95177144,449191.0,1278625.5,2108060.0,62730676.0,123353292.0,3.0,95.66666666666667,1.5275252316519468,94.0,95.0,96.0,96.5,97.0
Horror,11.0,102.0909090909091,13.604811982931228,71.0,98.0,103.0,109.0,122.0,11.0,7.909090909090907,0.31130225008677814,7.6,7.7,7.8,8.05,8.5,11.0,340232.36363636365,234883.5086911266,27007.0,174831.5,362393.0,435935.5,787806.0,11.0,94059021.63636364,99650165.55370711,89029.0,22891419.0,56000369.0,136281676.0,298791505.0,11.0,80.0,15.362291495737216,46.0,77.5,87.0,88.5,97.0
Mystery,12.0,119.08333333333333,14.47542326800425,96.0,110.75,117.5,130.25,138.0,12.0,7.974999999999999,0.31079078025403073,7.6,7.675,8.0,8.225,8.4,12.0,350250.3333333333,404621.91529676714,33982.0,55011.75,159514.0,477666.25,1129894.0,12.0,104701417.91666667,156752421.7486322,1035953.0,4010115.25,31154590.0,131094868.75,474203697.0,8.0,79.125,18.604434955139055,52.0,65.25,77.0,98.5,100.0
Thriller,1.0,108.0,,108.0,108.0,108.0,108.0,108.0,1.0,7.8,,7.8,7.8,7.8,7.8,7.8,1.0,27733.0,,27733.0,27733.0,27733.0,27733.0,27733.0,1.0,17550741.0,,17550741.0,17550741.0,17550741.0,17550741.0,17550741.0,1.0,81.0,,81.0,81.0,81.0,81.0,81.0
